
Search terms report,,,,,,,,,,,
All time,,,,,,,,,,,
Search term,Match type,Added/Excluded,Campaign,Ad group,Clicks,Conversions,Currency code,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %
director urgen care,Phrase match (close variant),None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,7.64,7.64,100.00%,100.00%
house call doctors near me,Phrase match (close variant),None,Non-Brand - Doctors - SF - Mobile,Doctors,3,0,USD,11.46,34.37,100.00%,100.00%
seattle urgent care swedish,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,25.47,25.47,100.00%,100.00%
urgent care near 30 ranch dr new peter california,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,21.36,21.36,100.00%,100.00%
urgent care old bridge,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,8.12,8.12,100.00%,100.00%
asian american medical group urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,17.84,17.84,100.00%,100.00%
emergency doctors near me,Phrase match,None,Non-Brand - Doctors - SF - Mobile,Doctors,3,0,USD,3.34,10.02,100.00%,100.00%
doctors check up near me,Broad match,None,Non-Brand - Doctors - SF - Mobile,Doctors,1,0,USD,2.15,2.15,0.00%,100.00%
see a doctor near me,Phrase match,None,Non-Brand - Doctors - SF - Mobile,Doctors,1,0,USD,4.44,4.44,100.00%,100.00%
does urgent care do iv,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,10.65,10.65,100.00%,100.00%
urgent care birth control,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,1,USD,9.31,9.31,100.00%,100.00%
urgent care centers alameda alliance in san francisco,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,9.07,9.07,0.00%,100.00%
what time does urgent care open,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,26.65,26.65,100.00%,100.00%
urgent care in aetna network,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,1,USD,19.5,19.5,100.00%,100.00%
medical marijuanas doctors near me,Phrase match (close variant),None,Non-Brand - Doctors - SF - Mobile,Doctors,1,0,USD,15.51,15.51,100.00%,100.00%
sunnyvale urgent cares open,Phrase match (close variant),None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,11.01,11.01,100.00%,100.00%
john muir urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,6.74,6.74,100.00%,100.00%
urgent care burlingame ca,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,10.74,10.74,100.00%,100.00%
urgent care near 89 webster street san francisco 94117,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,2,0,USD,12.84,25.68,100.00%,100.00%
urgent care centers berkrley ca,Phrase match (close variant),None,Non-Brand - Urgent Care - SF - PMM,Care Center,2,0,USD,9.66,19.32,100.00%,100.00%
urgent care sf 94111,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,15.85,15.85,100.00%,100.00%
doctor accept medi cal near me,Broad match,None,Non-Brand - Doctors - SF - Mobile,Doctors,1,0,USD,13.94,13.94,100.00%,100.00%
blue shield urgent care sf,Broad match,None,Non-Brand - Urgent Care - SF - PMM,Blue Shield of California,1,0,USD,14.54,14.54,100.00%,100.00%
can urgent care give you antibiotics,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,19.76,19.76,100.00%,100.00%
skin urgent care near me,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,26.83,26.83,100.00%,100.00%
concentra urgent care san francisco,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,14.25,14.25,100.00%,100.00%
urgent care near,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,27.99,27.99,100.00%,100.00%
sutter health urgent care fees,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,20.69,20.69,100.00%,100.00%
urgent care covered california,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,27.56,27.56,100.00%,100.00%
ohio health urgent care africa rd columbus ohio price list,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,24,24,100.00%,100.00%
urgent care clinics near mountain view,Phrase match (close variant),None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,3.91,3.91, --, --
urgent care san leandro,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,14.48,14.48,0.00%,100.00%
urgent care mountain view california,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,17.71,17.71,100.00%,100.00%
urgent care antem blue cross guerrero and market street,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,29.04,29.04,100.00%,100.00%
